ts,src,dst,sport,dport,proto,length
1765271951.9947062,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271952.004884,10.0.0.1,10.0.0.2,40000,80,TCP,681
1765271952.0718753,10.0.0.1,10.0.0.2,40000,80,TCP,560
1765271952.080275,10.0.0.1,10.0.0.2,40000,80,TCP,1003
1765271952.085895,10.0.0.1,10.0.0.2,40000,80,TCP,1134
1765271952.0998797,10.0.0.1,10.0.0.2,40000,80,TCP,791
1765271952.1199112,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271952.138043,10.0.0.1,10.0.0.2,40000,80,TCP,1220
1765271952.139548,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271952.1859796,10.0.0.1,10.0.0.2,40000,80,TCP,291
1765271952.234983,10.0.0.1,10.0.0.2,40000,80,TCP,431
1765271952.2354298,10.0.0.1,10.0.0.2,40000,80,TCP,187o
1765271952.2521605,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271952.3110511,10.0.0.1,10.0.0.2,40000,80,TCP,124
1765271952.359579,10.0.0.1,10.0.0.2,40000,80,TCP,105
1765271952.3691065,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271952.3909416,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271952.4105678,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271952.4136302,10.0.0.1,10.0.0.2,40000,80,TCP,1477
1765271952.419723,10.0.0.1,10.0.0.2,40000,80,TCP,1131
1765271952.422829,10.0.0.1,10.0.0.2,40000,80,TCP,702
1765271952.4502273,10.0.0.1,10.0.0.2,40000,80,TCP,61
1765271952.4955864,10.0.0.1,10.0.0.2,40000,80,TCP,1105
1765271952.5598261,10.0.0.1,10.0.0.2,40000,80,TCP,599
1765271952.5645938,10.0.0.1,10.0.0.2,40000,80,TCP,850
1765271952.6525352,10.0.0.1,10.0.0.2,40000,80,TCP,183
1765271952.679922,10.0.0.1,10.0.0.2,40000,80,TCP,759
1765271952.7133672,10.0.0.1,10.0.0.2,40000,80,TCP,543
1765271952.816044,10.0.0.1,10.0.0.2,40000,80,TCP,975
1765271952.837137,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271952.9113717,10.0.0.1,10.0.0.2,40000,80,TCP,814
1765271952.9684403,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271952.9879868,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271952.9960856,10.0.0.1,10.0.0.2,40000,80,TCP,177
1765271953.0117207,10.0.0.1,10.0.0.2,40000,80,TCP,1370
1765271953.022712,10.0.0.1,10.0.0.2,40000,80,TCP,747
1765271953.0431206,10.0.0.1,10.0.0.2,40000,80,TCP,1276
1765271953.0647423,10.0.0.1,10.0.0.2,40000,80,TCP,231
1765271953.1049595,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271953.110104,10.0.0.1,10.0.0.2,40000,80,TCP,198
1765271953.1130733,10.0.0.1,10.0.0.2,40000,80,TCP,1074
1765271953.1199331,10.0.0.1,10.0.0.2,40000,80,TCP,1028
1765271953.132585,10.0.0.1,10.0.0.2,40000,80,TCP,660
1765271953.2098405,10.0.0.1,10.0.0.2,40000,80,TCP,1286
1765271953.2223861,10.0.0.1,10.0.0.2,40000,80,TCP,1343
1765271953.2335868,10.0.0.1,10.0.0.2,40000,80,TCP,1325
1765271953.2357466,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271953.2586834,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271953.2622833,10.0.0.1,10.0.0.2,40000,80,TCP,837
1765271953.2678933,10.0.0.1,10.0.0.2,40000,80,TCP,77
1765271953.2782187,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271953.2821486,10.0.0.1,10.0.0.2,40000,80,TCP,1021
1765271953.323409,10.0.0.1,10.0.0.2,40000,80,TCP,686
1765271953.4026532,10.0.0.1,10.0.0.2,40000,80,TCP,301
1765271953.4143658,10.0.0.1,10.0.0.2,40000,80,TCP,180
1765271953.4268913,10.0.0.1,10.0.0.2,40000,80,TCP,497
1765271953.475749,10.0.0.1,10.0.0.2,40000,80,TCP,503
1765271953.6087317,10.0.0.1,10.0.0.2,40000,80,TCP,244
1765271953.6351125,10.0.0.1,10.0.0.2,40000,80,TCP,446
1765271953.7081761,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271953.7129638,10.0.0.1,10.0.0.2,40000,80,TCP,410
1765271953.7683406,10.0.0.1,10.0.0.2,40000,80,TCP,335
1765271953.8221467,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271953.8435786,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271953.8500638,10.0.0.1,10.0.0.2,40000,80,TCP,669
1765271953.9130437,10.0.0.1,10.0.0.2,40000,80,TCP,247
1765271953.9449794,10.0.0.1,10.0.0.2,40000,80,TCP,755
1765271953.9484353,10.0.0.1,10.0.0.2,40000,80,TCP,788
1765271953.9516506,10.0.0.1,10.0.0.2,40000,80,TCP,570
1765271953.954356,10.0.0.1,10.0.0.2,40000,80,TCP,1374
