ts,src,dst,sport,dport,proto,length,flow,ipd
0.0,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.013129789180554841
0.1176445484161377,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.12786644567389377
0.13825702667236328,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.01065684866453037
0.26445937156677246,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.1292470861775556
0.3748934268951416,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.11430795709045703
0.3962128162384033,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.03943439652181845
0.4186441898345947,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.01953495559508602
0.8355185985565186,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.4219419947880674
0.9506433010101318,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.12861007338197605
0.9712679386138916,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.029087223523511986
1.0809943675994873,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.1185106604622131
1.1931266784667969,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.10563531174941425
1.2123382091522217,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.026020098365906706
1.2348906993865967,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.020870117156198333
1.6324899196624756,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.3870852502463698
1.7606210708618164,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.11916092509634746
1.7797966003417969,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.0041580821437176806
1.8992395401000977,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.14546314797061316
2.01432204246521,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.1051018500734586
2.0356571674346924,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.02404208374122143
2.057483673095703,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.031196827052049545
2.570310115814209,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.5293493312653224
2.697725772857666,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.11935660808796993
2.7189571857452393,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.011435131954192478
2.8431198596954346,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.12053510776279684
2.9674274921417236,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.1407723074134144
2.986607551574707,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.013064812202258688
3.00624680519104,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.010950405797042498
3.382615089416504,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.3916645062918412
3.4970810413360596,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.11411476082965132
3.518218994140625,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,1e-09
3.6466612815856934,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.12153967579588613
3.768535852432251,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.11430307382943362
3.789933919906616,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.016069409263802972
3.8106327056884766,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.0010722674678326043
4.265406370162964,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.46490802335560977
4.378042221069336,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.1105203303986152
4.397169589996338,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.013276933530704377
4.517760515213013,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.12487722968188508
4.638935089111328,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.11422383877521718
4.658591032028198,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.01903062979316742
4.68000054359436,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.014084635292972318
5.03062105178833,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.3415880208937575
5.140386343002319,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.11304087510100688
5.16131591796875,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.04524128318900742
5.29050087928772,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.12749557881258985
5.420147895812988,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.12506817602735507
5.442683935165405,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.01674477488285575
5.465409994125366,10.0.0.3,10.0.0.4,0,0,ICMP,64,10.0.0.3_10.0.0.4_ICMP,0.023039104385846818
